School,Owner,Bid,Projected,Actual,Difference,PerformanceRatio,PointsPerDollar
Washington,Jawad,76,167,209,42,1.251497,2.75
Texas,Jared,48,155,182,27,1.1741935,3.7916667
Texas A&M,Jawad,14,41,65,24,1.5853659,4.642857
Louisville,Jared,1,30,52,22,1.7333333,52
Clemson,Ross,35,77,97,20,1.2597402,2.7714286
Duke,AJ,5,44,62,18,1.4090909,12.4
Washington State,Tilo,1,28,42,14,1.5,42
Rutgers,Jawad,2,17,30,13,1.7647059,15
LSU,Jared,69,131,143,12,1.091603,2.0724638
Kansas,Tilo,1,25,37,12,1.48,37
Iowa,Tilo,191,48,56,8,1.1666666,0.29319373
Kansas State,AJ,5,38,45,7,1.1842105,9
Illinois,Jared,20,53,60,7,1.1320754,3
Purdue,Jawad,2,10,17,7,1.7,8.5
Florida State,Jawad,36,129,135,6,1.0465117,3.75
Utah,Jared,9,37,43,6,1.1621622,4.7777777
Maryland,Ross,2,21,27,6,1.2857143,13.5
Wisconsin,Ross,1,21,26,5,1.2380953,26
USC,Jared,35,77,80,3,1.038961,2.2857144
South Carolina,Ross,7,39,42,3,1.0769231,6
Oregon,Ross,45,107,110,3,1.0280374,2.4444444
Western Kentucky,Jared,1,17,20,3,1.1764706,20
Oregon State,Jared,10,45,47,2,1.0444444,4.7
Minnesota,Jared,5,28,30,2,1.0714285,6
Kentucky,AJ,7,36,38,2,1.0555556,5.428571
Auburn,Tilo,1,32,34,2,1.0625,34
Missouri,Jawad,26,84,85,1,1.0119047,3.2692308
Georgia,Ross,68,161,162,1,1.0062112,2.3823528
North Carolina,AJ,18,61,61,0,1,3.3888888
Alabama,AJ,60,174,173,-1,0.99425286,2.8833334
Florida,Netten,1,26,25,-1,0.96153843,25
BYU,AJ,16,26,25,-1,0.96153843,1.5625
Pittsburgh,Netten,1,21,20,-1,0.95238096,20
UConn,Netten,1,21,20,-1,0.95238096,20
Notre Dame,Jawad,20,83,81,-2,0.97590363,4.05
UCF,Tilo,1,21,18,-3,0.85714287,18
Arizona,Jawad,2,37,33,-4,0.8918919,16.5
TCU,Ross,1,29,25,-4,0.86206895,25
Penn State,AJ,43,115,110,-5,0.95652175,2.5581396
Oklahoma,Jawad,17,40,35,-5,0.875,2.0588236
Ohio State,AJ,29,81,75,-6,0.9259259,2.586207
Toledo,Ross,8,31,25,-6,0.8064516,3.125
Western Michigan,Jawad,2,21,15,-6,0.71428573,7.5
Houston,Netten,1,22,15,-7,0.6818182,15
West Virginia,Netten,1,23,15,-8,0.65217394,15
North Carolina State,Tilo,1,29,20,-9,0.6896552,20
Tennessee,Jared,2,27,18,-9,0.6666667,9
Ole Miss,Tilo,1,16,7,-9,0.4375,7
Iowa State,Tilo,1,21,8,-13,0.3809524,8
South Dakota State,Tilo,1,22,8,-14,0.36363637,8
Texas Tech,AJ,3,23,8,-15,0.3478261,2.6666667
Mississippi State,Ross,3,26,8,-18,0.30769232,2.6666667
Michigan,Netten,191,162,143,-19,0.88271606,0.7486911
UCLA,AJ,14,53,30,-23,0.5660377,2.142857
Miami (FL),Ross,5,35,10,-25,0.2857143,2
