School,Owner,Bid,Projected,Actual,Difference,PerformanceRatio,PointsPerDollar
Alabama,Ross,71,191,257,66,1.3455497,3.6197183
Penn State,Jawad,37,68,123,55,1.8088236,3.3243244
Iowa,Tilo,45,80,120,40,1.5,2.6666667
LSU,Tilo,39,75,115,40,1.5333333,2.9487178
Michigan,Jawad,56,75,115,40,1.5333333,2.0535715
Purdue,Ross,9,23,63,40,2.7391305,7
Oregon,Netten,30,60,98,38,1.6333333,3.2666667
Houston,Ross,2,20,57,37,2.85,28.5
Tennessee,Tilo,40,89,125,36,1.4044944,3.125
Maryland,AJ,33,66,102,36,1.5454545,3.090909
Iowa State,Ross,11,37,71,34,1.918919,6.4545455
Auburn,AJ,20,48,81,33,1.6875,4.05
Texas,AJ,27,62,94,32,1.516129,3.4814816
Illinois,Tilo,25,62,92,30,1.483871,3.68
Oklahoma,Jawad,32,62,92,30,1.483871,2.875
Ole Miss,Jawad,9,30,59,29,1.9666667,6.5555553
North Carolina,Tilo,7,28,57,29,2.0357144,8.142858
UCLA,AJ,11,41,67,26,1.6341463,6.090909
Georgia,Ross,70,188,212,24,1.1276596,3.0285714
Florida,Jared,55,106,126,20,1.1886792,2.290909
Nebraska,Netten,1,13,32,19,2.4615386,32
Kansas State,Jawad,14,43,61,18,1.4186046,4.357143
Wisconsin,Jared,11,35,53,18,1.5142857,4.818182
Wake Forest,Ross,1,18,36,18,2,36
Michigan State,Ross,4,14,31,17,2.2142856,7.75
Stanford,Jawad,10,33,49,16,1.4848485,4.9
Clemson,Jared,58,96,111,15,1.15625,1.9137931
Pittsburgh,Netten,25,62,77,15,1.2419355,3.08
Miami (FL),AJ,12,27,42,15,1.5555556,3.5
Boise State,Jared,1,17,32,15,1.882353,32
Syracuse,Jawad,10,36,50,14,1.3888888,5
Cincinnati,AJ,14,32,45,13,1.40625,3.2142856
Tulane,Tilo,2,18,30,12,1.6666666,15
Northwestern,AJ,21,61,72,11,1.1803279,3.4285715
Oregon State,Ross,7,34,45,11,1.3235294,6.428571
TCU,Netten,45,87,98,11,1.1264368,2.1777778
Mississippi State,Netten,12,29,38,9,1.3103448,3.1666667
BYU,Tilo,8,25,32,7,1.28,4
Minnesota,Jared,7,34,39,5,1.1470588,5.571429
Fresno State,Jared,1,14,18,4,1.2857143,18
Virginia,Netten,1,13,17,4,1.3076923,17
USC,Jared,45,72,75,3,1.0416666,1.6666666
Notre Dame,Tilo,32,67,66,-1,0.98507464,2.0625
Texas Tech,Ross,13,37,35,-2,0.9459459,2.6923077
Boston College,Netten,3,27,25,-2,0.9259259,8.333333
North Dakota State,Jawad,8,27,25,-2,0.9259259,3.125
Georgia Tech,Ross,4,22,20,-2,0.90909094,5
Louisville,AJ,14,36,33,-3,0.9166667,2.357143
South Carolina,Jawad,10,46,42,-4,0.9130435,4.2
South Dakota State,Netten,1,15,10,-5,0.6666667,10
Washington State,Tilo,1,15,10,-5,0.6666667,10
Utah,AJ,24,58,51,-7,0.87931037,2.125
Kentucky,AJ,24,48,41,-7,0.8541667,1.7083334
West Virginia,Tilo,1,13,6,-7,0.46153846,6
Arkansas,Jawad,12,39,30,-9,0.7692308,2.5
Texas A&M,Jared,12,42,32,-10,0.7619048,2.6666667
Baylor,Jared,8,27,10,-17,0.37037036,1.25
Ohio State,Netten,80,152,134,-18,0.8815789,1.675
